file_path,artist
data/images\Rembrandt\Rembrandt_220.jpg,Rembrandt
data/images\Pablo_Picasso\Pablo_Picasso_263.jpg,Pablo_Picasso
data/images\William_Turner\William_Turner_51.jpg,William_Turner
data/images\Georges_Seurat\Georges_Seurat_11.jpg,Georges_Seurat
data/images\Marc_Chagall\Marc_Chagall_46.jpg,Marc_Chagall
data/images\Francisco_Goya\Francisco_Goya_279.jpg,Francisco_Goya
data/images\Pablo_Picasso\Pablo_Picasso_283.jpg,Pablo_Picasso
data/images\Francisco_Goya\Francisco_Goya_163.jpg,Francisco_Goya
data/images\Alfred_Sisley\Alfred_Sisley_132.jpg,Alfred_Sisley
data/images\Amedeo_Modigliani\Amedeo_Modigliani_31.jpg,Amedeo_Modigliani
data/images\Vincent_van_Gogh\Vincent_van_Gogh_142.jpg,Vincent_van_Gogh
data/images\Pieter_Bruegel\Pieter_Bruegel_72.jpg,Pieter_Bruegel
data/images\Gustav_Klimt\Gustav_Klimt_94.jpg,Gustav_Klimt
data/images\Francisco_Goya\Francisco_Goya_128.jpg,Francisco_Goya
data/images\Andy_Warhol\Andy_Warhol_6.jpg,Andy_Warhol
data/images\Salvador_Dali\Salvador_Dali_138.jpg,Salvador_Dali
data/images\Joan_Miro\Joan_Miro_9.jpg,Joan_Miro
data/images\Gustav_Klimt\Gustav_Klimt_3.jpg,Gustav_Klimt
data/images\Edgar_Degas\Edgar_Degas_444.jpg,Edgar_Degas
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_241.jpg,Pierre-Auguste_Renoir
data/images\Pieter_Bruegel\Pieter_Bruegel_4.jpg,Pieter_Bruegel
data/images\Vincent_van_Gogh\Vincent_van_Gogh_61.jpg,Vincent_van_Gogh
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_165.jpg,Pierre-Auguste_Renoir
data/images\Edgar_Degas\Edgar_Degas_572.jpg,Edgar_Degas
data/images\Leonardo_da_Vinci\Leonardo_da_Vinci_115.jpg,Leonardo_da_Vinci
data/images\Paul_Gauguin\Paul_Gauguin_56.jpg,Paul_Gauguin
data/images\Piet_Mondrian\Piet_Mondrian_28.jpg,Piet_Mondrian
data/images\Vincent_van_Gogh\Vincent_van_Gogh_707.jpg,Vincent_van_Gogh
data/images\Pieter_Bruegel\Pieter_Bruegel_2.jpg,Pieter_Bruegel
data/images\Henri_Matisse\Henri_Matisse_155.jpg,Henri_Matisse
data/images\Vincent_van_Gogh\Vincent_van_Gogh_588.jpg,Vincent_van_Gogh
data/images\Caravaggio\Caravaggio_34.jpg,Caravaggio
data/images\Kazimir_Malevich\Kazimir_Malevich_60.jpg,Kazimir_Malevich
data/images\Georges_Seurat\Georges_Seurat_36.jpg,Georges_Seurat
data/images\Vincent_van_Gogh\Vincent_van_Gogh_65.jpg,Vincent_van_Gogh
data/images\Amedeo_Modigliani\Amedeo_Modigliani_146.jpg,Amedeo_Modigliani
data/images\Peter_Paul_Rubens\Peter_Paul_Rubens_40.jpg,Peter_Paul_Rubens
data/images\Vincent_van_Gogh\Vincent_van_Gogh_842.jpg,Vincent_van_Gogh
data/images\Edgar_Degas\Edgar_Degas_303.jpg,Edgar_Degas
data/images\William_Turner\William_Turner_61.jpg,William_Turner
data/images\Francisco_Goya\Francisco_Goya_147.jpg,Francisco_Goya
data/images\Pablo_Picasso\Pablo_Picasso_373.jpg,Pablo_Picasso
data/images\Diego_Velazquez\Diego_Velazquez_89.jpg,Diego_Velazquez
data/images\Claude_Monet\Claude_Monet_51.jpg,Claude_Monet
data/images\Leonardo_da_Vinci\Leonardo_da_Vinci_40.jpg,Leonardo_da_Vinci
data/images\Pablo_Picasso\Pablo_Picasso_354.jpg,Pablo_Picasso
data/images\Frida_Kahlo\Frida_Kahlo_38.jpg,Frida_Kahlo
data/images\Piet_Mondrian\Piet_Mondrian_30.jpg,Piet_Mondrian
data/images\Francisco_Goya\Francisco_Goya_263.jpg,Francisco_Goya
data/images\William_Turner\William_Turner_14.jpg,William_Turner
data/images\Francisco_Goya\Francisco_Goya_158.jpg,Francisco_Goya
data/images\Titian\Titian_73.jpg,Titian
data/images\Paul_Cezanne\Paul_Cezanne_1.jpg,Paul_Cezanne
data/images\Alfred_Sisley\Alfred_Sisley_23.jpg,Alfred_Sisley
data/images\Raphael\Raphael_65.jpg,Raphael
data/images\Amedeo_Modigliani\Amedeo_Modigliani_17.jpg,Amedeo_Modigliani
data/images\Kazimir_Malevich\Kazimir_Malevich_32.jpg,Kazimir_Malevich
data/images\Giotto_di_Bondone\Giotto_di_Bondone_67.jpg,Giotto_di_Bondone
data/images\Francisco_Goya\Francisco_Goya_270.jpg,Francisco_Goya
data/images\Marc_Chagall\Marc_Chagall_30.jpg,Marc_Chagall
data/images\El_Greco\El_Greco_35.jpg,El_Greco
data/images\Raphael\Raphael_13.jpg,Raphael
data/images\Marc_Chagall\Marc_Chagall_93.jpg,Marc_Chagall
data/images\Edgar_Degas\Edgar_Degas_67.jpg,Edgar_Degas
data/images\Diego_Velazquez\Diego_Velazquez_58.jpg,Diego_Velazquez
data/images\Alfred_Sisley\Alfred_Sisley_103.jpg,Alfred_Sisley
data/images\Pablo_Picasso\Pablo_Picasso_199.jpg,Pablo_Picasso
data/images\Edgar_Degas\Edgar_Degas_384.jpg,Edgar_Degas
data/images\El_Greco\El_Greco_63.jpg,El_Greco
data/images\Edgar_Degas\Edgar_Degas_406.jpg,Edgar_Degas
data/images\Diego_Rivera\Diego_Rivera_37.jpg,Diego_Rivera
data/images\Vincent_van_Gogh\Vincent_van_Gogh_307.jpg,Vincent_van_Gogh
data/images\Sandro_Botticelli\Sandro_Botticelli_7.jpg,Sandro_Botticelli
data/images\Vincent_van_Gogh\Vincent_van_Gogh_64.jpg,Vincent_van_Gogh
data/images\Mikhail_Vrubel\Mikhail_Vrubel_35.jpg,Mikhail_Vrubel
data/images\Raphael\Raphael_8.jpg,Raphael
data/images\Edgar_Degas\Edgar_Degas_15.jpg,Edgar_Degas
data/images\Amedeo_Modigliani\Amedeo_Modigliani_122.jpg,Amedeo_Modigliani
data/images\Mikhail_Vrubel\Mikhail_Vrubel_153.jpg,Mikhail_Vrubel
data/images\Rene_Magritte\Rene_Magritte_121.jpg,Rene_Magritte
data/images\Vincent_van_Gogh\Vincent_van_Gogh_520.jpg,Vincent_van_Gogh
data/images\Paul_Gauguin\Paul_Gauguin_175.jpg,Paul_Gauguin
data/images\Edgar_Degas\Edgar_Degas_48.jpg,Edgar_Degas
data/images\Alfred_Sisley\Alfred_Sisley_134.jpg,Alfred_Sisley
data/images\Mikhail_Vrubel\Mikhail_Vrubel_116.jpg,Mikhail_Vrubel
data/images\Vincent_van_Gogh\Vincent_van_Gogh_119.jpg,Vincent_van_Gogh
data/images\Pablo_Picasso\Pablo_Picasso_313.jpg,Pablo_Picasso
data/images\Rembrandt\Rembrandt_261.jpg,Rembrandt
data/images\Rembrandt\Rembrandt_230.jpg,Rembrandt
data/images\Edgar_Degas\Edgar_Degas_589.jpg,Edgar_Degas
data/images\Vincent_van_Gogh\Vincent_van_Gogh_89.jpg,Vincent_van_Gogh
data/images\Francisco_Goya\Francisco_Goya_161.jpg,Francisco_Goya
data/images\Kazimir_Malevich\Kazimir_Malevich_114.jpg,Kazimir_Malevich
data/images\Paul_Klee\Paul_Klee_110.jpg,Paul_Klee
data/images\Vincent_van_Gogh\Vincent_van_Gogh_723.jpg,Vincent_van_Gogh
data/images\Edouard_Manet\Edouard_Manet_10.jpg,Edouard_Manet
data/images\Edouard_Manet\Edouard_Manet_48.jpg,Edouard_Manet
data/images\Claude_Monet\Claude_Monet_31.jpg,Claude_Monet
data/images\Salvador_Dali\Salvador_Dali_49.jpg,Salvador_Dali
data/images\Andy_Warhol\Andy_Warhol_87.jpg,Andy_Warhol
data/images\Edouard_Manet\Edouard_Manet_49.jpg,Edouard_Manet
data/images\Hieronymus_Bosch\Hieronymus_Bosch_61.jpg,Hieronymus_Bosch
data/images\Diego_Rivera\Diego_Rivera_19.jpg,Diego_Rivera
data/images\Vincent_van_Gogh\Vincent_van_Gogh_438.jpg,Vincent_van_Gogh
data/images\Rembrandt\Rembrandt_147.jpg,Rembrandt
data/images\Marc_Chagall\Marc_Chagall_151.jpg,Marc_Chagall
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_60.jpg,Pierre-Auguste_Renoir
data/images\Mikhail_Vrubel\Mikhail_Vrubel_154.jpg,Mikhail_Vrubel
data/images\Salvador_Dali\Salvador_Dali_40.jpg,Salvador_Dali
data/images\Piet_Mondrian\Piet_Mondrian_24.jpg,Piet_Mondrian
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_260.jpg,Pierre-Auguste_Renoir
data/images\Henri_Rousseau\Henri_Rousseau_36.jpg,Henri_Rousseau
data/images\Diego_Velazquez\Diego_Velazquez_28.jpg,Diego_Velazquez
data/images\Rembrandt\Rembrandt_170.jpg,Rembrandt
data/images\Edgar_Degas\Edgar_Degas_385.jpg,Edgar_Degas
data/images\Marc_Chagall\Marc_Chagall_220.jpg,Marc_Chagall
data/images\Rene_Magritte\Rene_Magritte_32.jpg,Rene_Magritte
data/images\Vincent_van_Gogh\Vincent_van_Gogh_624.jpg,Vincent_van_Gogh
data/images\Edgar_Degas\Edgar_Degas_358.jpg,Edgar_Degas
data/images\Paul_Gauguin\Paul_Gauguin_126.jpg,Paul_Gauguin
data/images\Vasiliy_Kandinskiy\Vasiliy_Kandinskiy_64.jpg,Vasiliy_Kandinskiy
data/images\Andy_Warhol\Andy_Warhol_79.jpg,Andy_Warhol
data/images\Salvador_Dali\Salvador_Dali_35.jpg,Salvador_Dali
data/images\Alfred_Sisley\Alfred_Sisley_193.jpg,Alfred_Sisley
data/images\Edgar_Degas\Edgar_Degas_68.jpg,Edgar_Degas
data/images\Edgar_Degas\Edgar_Degas_686.jpg,Edgar_Degas
data/images\Paul_Gauguin\Paul_Gauguin_39.jpg,Paul_Gauguin
data/images\Kazimir_Malevich\Kazimir_Malevich_53.jpg,Kazimir_Malevich
data/images\Vincent_van_Gogh\Vincent_van_Gogh_175.jpg,Vincent_van_Gogh
data/images\Edgar_Degas\Edgar_Degas_116.jpg,Edgar_Degas
data/images\Caravaggio\Caravaggio_16.jpg,Caravaggio
data/images\Paul_Klee\Paul_Klee_43.jpg,Paul_Klee
data/images\Titian\Titian_215.jpg,Titian
data/images\Peter_Paul_Rubens\Peter_Paul_Rubens_138.jpg,Peter_Paul_Rubens
data/images\Henri_Matisse\Henri_Matisse_94.jpg,Henri_Matisse
data/images\Vincent_van_Gogh\Vincent_van_Gogh_211.jpg,Vincent_van_Gogh
data/images\Gustav_Klimt\Gustav_Klimt_39.jpg,Gustav_Klimt
data/images\Titian\Titian_192.jpg,Titian
data/images\Sandro_Botticelli\Sandro_Botticelli_157.jpg,Sandro_Botticelli
data/images\Edvard_Munch\Edvard_Munch_54.jpg,Edvard_Munch
data/images\Marc_Chagall\Marc_Chagall_204.jpg,Marc_Chagall
data/images\Gustav_Klimt\Gustav_Klimt_104.jpg,Gustav_Klimt
data/images\Paul_Klee\Paul_Klee_65.jpg,Paul_Klee
data/images\Pablo_Picasso\Pablo_Picasso_171.jpg,Pablo_Picasso
data/images\Hieronymus_Bosch\Hieronymus_Bosch_85.jpg,Hieronymus_Bosch
data/images\Vincent_van_Gogh\Vincent_van_Gogh_622.jpg,Vincent_van_Gogh
data/images\Gustav_Klimt\Gustav_Klimt_57.jpg,Gustav_Klimt
data/images\Edouard_Manet\Edouard_Manet_66.jpg,Edouard_Manet
data/images\Marc_Chagall\Marc_Chagall_108.jpg,Marc_Chagall
data/images\Vincent_van_Gogh\Vincent_van_Gogh_378.jpg,Vincent_van_Gogh
data/images\Rene_Magritte\Rene_Magritte_108.jpg,Rene_Magritte
data/images\Francisco_Goya\Francisco_Goya_253.jpg,Francisco_Goya
data/images\Gustav_Klimt\Gustav_Klimt_17.jpg,Gustav_Klimt
data/images\Andrei_Rublev\Andrei_Rublev_69.jpg,Andrei_Rublev
data/images\Peter_Paul_Rubens\Peter_Paul_Rubens_82.jpg,Peter_Paul_Rubens
data/images\Marc_Chagall\Marc_Chagall_96.jpg,Marc_Chagall
data/images\Pablo_Picasso\Pablo_Picasso_210.jpg,Pablo_Picasso
data/images\Frida_Kahlo\Frida_Kahlo_36.jpg,Frida_Kahlo
data/images\Vincent_van_Gogh\Vincent_van_Gogh_251.jpg,Vincent_van_Gogh
data/images\Rembrandt\Rembrandt_244.jpg,Rembrandt
data/images\Mikhail_Vrubel\Mikhail_Vrubel_149.jpg,Mikhail_Vrubel
data/images\Marc_Chagall\Marc_Chagall_144.jpg,Marc_Chagall
data/images\Hieronymus_Bosch\Hieronymus_Bosch_111.jpg,Hieronymus_Bosch
data/images\Henri_Matisse\Henri_Matisse_162.jpg,Henri_Matisse
data/images\Vincent_van_Gogh\Vincent_van_Gogh_419.jpg,Vincent_van_Gogh
data/images\Piet_Mondrian\Piet_Mondrian_25.jpg,Piet_Mondrian
data/images\Francisco_Goya\Francisco_Goya_61.jpg,Francisco_Goya
data/images\Edouard_Manet\Edouard_Manet_88.jpg,Edouard_Manet
data/images\Edouard_Manet\Edouard_Manet_20.jpg,Edouard_Manet
data/images\Diego_Velazquez\Diego_Velazquez_48.jpg,Diego_Velazquez
data/images\Edgar_Degas\Edgar_Degas_245.jpg,Edgar_Degas
data/images\Marc_Chagall\Marc_Chagall_239.jpg,Marc_Chagall
data/images\Diego_Velazquez\Diego_Velazquez_85.jpg,Diego_Velazquez
data/images\Titian\Titian_22.jpg,Titian
data/images\Edgar_Degas\Edgar_Degas_370.jpg,Edgar_Degas
data/images\Amedeo_Modigliani\Amedeo_Modigliani_132.jpg,Amedeo_Modigliani
data/images\Joan_Miro\Joan_Miro_73.jpg,Joan_Miro
data/images\Vincent_van_Gogh\Vincent_van_Gogh_226.jpg,Vincent_van_Gogh
data/images\Paul_Gauguin\Paul_Gauguin_311.jpg,Paul_Gauguin
data/images\Kazimir_Malevich\Kazimir_Malevich_108.jpg,Kazimir_Malevich
data/images\Marc_Chagall\Marc_Chagall_107.jpg,Marc_Chagall
data/images\Andy_Warhol\Andy_Warhol_80.jpg,Andy_Warhol
data/images\Vincent_van_Gogh\Vincent_van_Gogh_851.jpg,Vincent_van_Gogh
data/images\Vasiliy_Kandinskiy\Vasiliy_Kandinskiy_4.jpg,Vasiliy_Kandinskiy
data/images\Vincent_van_Gogh\Vincent_van_Gogh_840.jpg,Vincent_van_Gogh
data/images\Claude_Monet\Claude_Monet_57.jpg,Claude_Monet
data/images\Mikhail_Vrubel\Mikhail_Vrubel_130.jpg,Mikhail_Vrubel
data/images\Titian\Titian_206.jpg,Titian
data/images\Vincent_van_Gogh\Vincent_van_Gogh_479.jpg,Vincent_van_Gogh
data/images\Francisco_Goya\Francisco_Goya_154.jpg,Francisco_Goya
data/images\Pablo_Picasso\Pablo_Picasso_197.jpg,Pablo_Picasso
data/images\Alfred_Sisley\Alfred_Sisley_15.jpg,Alfred_Sisley
data/images\Pablo_Picasso\Pablo_Picasso_195.jpg,Pablo_Picasso
data/images\Mikhail_Vrubel\Mikhail_Vrubel_91.jpg,Mikhail_Vrubel
data/images\Diego_Velazquez\Diego_Velazquez_124.jpg,Diego_Velazquez
data/images\Vincent_van_Gogh\Vincent_van_Gogh_431.jpg,Vincent_van_Gogh
data/images\Vincent_van_Gogh\Vincent_van_Gogh_863.jpg,Vincent_van_Gogh
data/images\Gustav_Klimt\Gustav_Klimt_20.jpg,Gustav_Klimt
data/images\Camille_Pissarro\Camille_Pissarro_22.jpg,Camille_Pissarro
data/images\Jan_van_Eyck\Jan_van_Eyck_18.jpg,Jan_van_Eyck
data/images\Vincent_van_Gogh\Vincent_van_Gogh_660.jpg,Vincent_van_Gogh
data/images\Rembrandt\Rembrandt_218.jpg,Rembrandt
data/images\Diego_Velazquez\Diego_Velazquez_64.jpg,Diego_Velazquez
data/images\Jackson_Pollock\Jackson_Pollock_10.jpg,Jackson_Pollock
data/images\Francisco_Goya\Francisco_Goya_277.jpg,Francisco_Goya
data/images\Francisco_Goya\Francisco_Goya_5.jpg,Francisco_Goya
data/images\Vincent_van_Gogh\Vincent_van_Gogh_305.jpg,Vincent_van_Gogh
data/images\Edgar_Degas\Edgar_Degas_360.jpg,Edgar_Degas
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_276.jpg,Pierre-Auguste_Renoir
data/images\Henri_Rousseau\Henri_Rousseau_1.jpg,Henri_Rousseau
data/images\Kazimir_Malevich\Kazimir_Malevich_3.jpg,Kazimir_Malevich
data/images\Andrei_Rublev\Andrei_Rublev_24.jpg,Andrei_Rublev
data/images\Jackson_Pollock\Jackson_Pollock_6.jpg,Jackson_Pollock
data/images\Paul_Cezanne\Paul_Cezanne_27.jpg,Paul_Cezanne
data/images\Diego_Velazquez\Diego_Velazquez_118.jpg,Diego_Velazquez
data/images\Paul_Klee\Paul_Klee_105.jpg,Paul_Klee
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_151.jpg,Pierre-Auguste_Renoir
data/images\Salvador_Dali\Salvador_Dali_84.jpg,Salvador_Dali
data/images\Andy_Warhol\Andy_Warhol_14.jpg,Andy_Warhol
data/images\Edgar_Degas\Edgar_Degas_271.jpg,Edgar_Degas
data/images\Marc_Chagall\Marc_Chagall_227.jpg,Marc_Chagall
data/images\Amedeo_Modigliani\Amedeo_Modigliani_176.jpg,Amedeo_Modigliani
data/images\William_Turner\William_Turner_1.jpg,William_Turner
data/images\Claude_Monet\Claude_Monet_46.jpg,Claude_Monet
