file_path,artist
data/images\Vincent_van_Gogh\Vincent_van_Gogh_776.jpg,Vincent_van_Gogh
data/images\Rene_Magritte\Rene_Magritte_118.jpg,Rene_Magritte
data/images\Titian\Titian_234.jpg,Titian
data/images\Edgar_Degas\Edgar_Degas_502.jpg,Edgar_Degas
data/images\Vincent_van_Gogh\Vincent_van_Gogh_161.jpg,Vincent_van_Gogh
data/images\Albrecht_DuΓòá├¬rer\Albrecht_DuΓòá├¬rer_242.jpg,Albrecht_Durer
data/images\Albrecht_DuΓòá├¬rer\Albrecht_DuΓòá├¬rer_288.jpg,Albrecht_Durer
data/images\Albrecht_DuΓòá├¬rer\Albrecht_DuΓòá├¬rer_40.jpg,Albrecht_Durer
data/images\Henri_Matisse\Henri_Matisse_124.jpg,Henri_Matisse
data/images\Edgar_Degas\Edgar_Degas_192.jpg,Edgar_Degas
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_206.jpg,Pierre-Auguste_Renoir
data/images\Rene_Magritte\Rene_Magritte_155.jpg,Rene_Magritte
data/images\Edgar_Degas\Edgar_Degas_363.jpg,Edgar_Degas
data/images\Vincent_van_Gogh\Vincent_van_Gogh_505.jpg,Vincent_van_Gogh
data/images\Henri_Matisse\Henri_Matisse_65.jpg,Henri_Matisse
data/images\Vincent_van_Gogh\Vincent_van_Gogh_105.jpg,Vincent_van_Gogh
data/images\Francisco_Goya\Francisco_Goya_155.jpg,Francisco_Goya
data/images\Alfred_Sisley\Alfred_Sisley_203.jpg,Alfred_Sisley
data/images\Edgar_Degas\Edgar_Degas_581.jpg,Edgar_Degas
data/images\Marc_Chagall\Marc_Chagall_210.jpg,Marc_Chagall
data/images\Albrecht_Du╠êrer\Albrecht_Du╠êrer_257.jpg,Albrecht_Durer
data/images\Vincent_van_Gogh\Vincent_van_Gogh_679.jpg,Vincent_van_Gogh
data/images\Paul_Klee\Paul_Klee_30.jpg,Paul_Klee
data/images\Rene_Magritte\Rene_Magritte_80.jpg,Rene_Magritte
data/images\Rene_Magritte\Rene_Magritte_186.jpg,Rene_Magritte
data/images\Albrecht_DuΓòá├¬rer\Albrecht_DuΓòá├¬rer_49.jpg,Albrecht_Durer
data/images\Alfred_Sisley\Alfred_Sisley_208.jpg,Alfred_Sisley
data/images\Francisco_Goya\Francisco_Goya_39.jpg,Francisco_Goya
data/images\Rene_Magritte\Rene_Magritte_187.jpg,Rene_Magritte
data/images\Edgar_Degas\Edgar_Degas_601.jpg,Edgar_Degas
data/images\Albrecht_Du╠êrer\Albrecht_Du╠êrer_113.jpg,Albrecht_Durer
data/images\Pablo_Picasso\Pablo_Picasso_186.jpg,Pablo_Picasso
data/images\Albrecht_DuΓòá├¬rer\Albrecht_DuΓòá├¬rer_310.jpg,Albrecht_Durer
data/images\Edgar_Degas\Edgar_Degas_296.jpg,Edgar_Degas
data/images\Paul_Klee\Paul_Klee_77.jpg,Paul_Klee
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_133.jpg,Pierre-Auguste_Renoir
data/images\Pierre-Auguste_Renoir\Pierre-Auguste_Renoir_87.jpg,Pierre-Auguste_Renoir
